Country,HappinessRank,HappinessScore,Economy,Generosity,Trust,Health,Freedom
Greece,82,5.287000000000001,1.181,0.0,0.034,0.9990000000000001,0.067
Mongolia,83,5.285,0.948,0.235,0.038,0.667,0.317
North Macedonia,84,5.274,0.983,0.185,0.034,0.838,0.345
Nigeria,85,5.265,0.696,0.215,0.040999999999999995,0.245,0.426
Kyrgyzstan,86,5.261,0.551,0.3,0.023,0.723,0.508
Turkmenistan,87,5.247000000000001,1.052,0.244,0.027999999999999997,0.657,0.39399999999999996
Algeria,88,5.211,1.002,0.073,0.114,0.785,0.086
Morocco,89,5.207999999999999,0.8009999999999999,0.036000000000000004,0.076,0.782,0.418
Azerbaijan,90,5.207999999999999,1.043,0.035,0.182,0.769,0.35100000000000003
Lebanon,91,5.197,0.987,0.166,0.027000000000000003,0.815,0.21600000000000003
Indonesia,92,5.192,0.9309999999999999,0.498,0.027999999999999997,0.66,0.491
China,93,5.191,1.0290000000000001,0.057999999999999996,0.1,0.893,0.521
Vietnam,94,5.175,0.741,0.147,0.073,0.851,0.5429999999999999
Bhutan,95,5.082,0.813,0.37,0.16699999999999998,0.604,0.457
Cameroon,96,5.044,0.5489999999999999,0.187,0.037000000000000005,0.331,0.381
Bulgaria,97,5.011,1.092,0.081,0.004,0.815,0.311
Ghana,98,4.996,0.611,0.245,0.04,0.486,0.381
Ivory Coast,99,4.944,0.569,0.154,0.09,0.23199999999999998,0.35200000000000004
Nepal,100,4.913,0.446,0.285,0.08900000000000001,0.677,0.439
Jordan,101,4.906000000000001,0.8370000000000001,0.11,0.13,0.815,0.38299999999999995
Benin,102,4.883,0.39299999999999996,0.175,0.08199999999999999,0.397,0.349
Congo (Brazzaville),103,4.812,0.6729999999999999,0.105,0.09300000000000001,0.508,0.37200000000000005
Gabon,104,4.7989999999999995,1.057,0.043,0.055,0.5710000000000001,0.295
Laos,105,4.796,0.764,0.266,0.16399999999999998,0.551,0.547
South Africa,106,4.7219999999999995,0.96,0.13,0.055,0.469,0.389
Albania,107,4.718999999999999,0.9470000000000001,0.17800000000000002,0.027000000000000003,0.8740000000000001,0.38299999999999995
Venezuela,108,4.707,0.96,0.064,0.047,0.805,0.154
Cambodia,109,4.7,0.574,0.23199999999999998,0.062,0.637,0.609
Palestinian Territories,110,4.696000000000001,0.657,0.10300000000000001,0.066,0.672,0.225
Senegal,111,4.681,0.45,0.153,0.07200000000000001,0.5710000000000001,0.292
Somalia,112,4.668,0.0,0.243,0.27,0.268,0.5589999999999999
Namibia,113,4.638999999999999,0.879,0.07,0.055999999999999994,0.47700000000000004,0.401
Niger,114,4.628,0.138,0.188,0.102,0.366,0.318
Burkina Faso,115,4.587,0.331,0.177,0.113,0.38,0.255
Armenia,116,4.559,0.85,0.095,0.064,0.815,0.28300000000000003
Iran,117,4.548,1.1,0.27,0.125,0.785,0.305
Guinea,118,4.534,0.38,0.207,0.086,0.375,0.332
Georgia,119,4.519,0.8859999999999999,0.043,0.16399999999999998,0.752,0.34600000000000003
Gambia,120,4.516,0.308,0.26899999999999996,0.16699999999999998,0.428,0.382
Kenya,121,4.5089999999999995,0.512,0.37200000000000005,0.053,0.581,0.431
Mauritania,122,4.49,0.57,0.106,0.08800000000000001,0.489,0.066
Mozambique,123,4.466,0.204,0.19699999999999998,0.138,0.39,0.494
Tunisia,124,4.461,0.9209999999999999,0.059000000000000004,0.055,0.815,0.16699999999999998
Bangladesh,125,4.456,0.562,0.166,0.14300000000000002,0.723,0.527
Iraq,126,4.437,1.043,0.14800000000000002,0.08900000000000001,0.574,0.24100000000000002
Congo (Kinshasa),127,4.418,0.094,0.212,0.053,0.35700000000000004,0.26899999999999996
Mali,128,4.39,0.385,0.153,0.052000000000000005,0.308,0.327
Sierra Leone,129,4.374,0.268,0.252,0.045,0.242,0.309
Sri Lanka,130,4.3660000000000005,0.9490000000000001,0.244,0.047,0.831,0.47
Myanmar,131,4.36,0.71,0.5660000000000001,0.172,0.555,0.525
Chad,132,4.35,0.35,0.198,0.078,0.192,0.174
Ukraine,133,4.332,0.82,0.187,0.01,0.7390000000000001,0.17800000000000002
Ethiopia,134,4.2860000000000005,0.336,0.209,0.1,0.532,0.344
Swaziland,135,4.212,0.8109999999999999,0.07400000000000001,0.135,0.0,0.313
Uganda,136,4.189,0.332,0.252,0.06,0.44299999999999995,0.35600000000000004
Egypt,137,4.166,0.9129999999999999,0.076,0.067,0.644,0.24100000000000002
Zambia,138,4.107,0.578,0.247,0.087,0.426,0.431
Togo,139,4.085,0.275,0.177,0.085,0.41,0.293
India,140,4.015,0.755,0.2,0.085,0.588,0.498
Liberia,141,3.975,0.073,0.233,0.033,0.44299999999999995,0.37
Comoros,142,3.9730000000000003,0.27399999999999997,0.275,0.078,0.505,0.142
Madagascar,143,3.9330000000000003,0.27399999999999997,0.16899999999999998,0.040999999999999995,0.555,0.14800000000000002
Lesotho,144,3.802,0.489,0.107,0.09300000000000001,0.168,0.359
Burundi,145,3.775,0.046,0.17600000000000002,0.18,0.38,0.22
Zimbabwe,146,3.6630000000000003,0.366,0.151,0.08900000000000001,0.433,0.361
Haiti,147,3.597,0.32299999999999995,0.419,0.11,0.449,0.026000000000000002
Botswana,148,3.488,1.041,0.025,0.1,0.5379999999999999,0.455
Syria,149,3.4619999999999997,0.619,0.331,0.141,0.44,0.013000000000000001
Malawi,150,3.41,0.191,0.218,0.08900000000000001,0.495,0.44299999999999995
Yemen,151,3.38,0.287,0.10800000000000001,0.077,0.46299999999999997,0.14300000000000002
Rwanda,152,3.3339999999999996,0.359,0.217,0.41100000000000003,0.614,0.555
Tanzania,153,3.2310000000000003,0.47600000000000003,0.276,0.147,0.499,0.41700000000000004
Afghanistan,154,3.2030000000000003,0.35,0.158,0.025,0.361,0.0
Central African Republic,155,3.083,0.026000000000000002,0.235,0.035,0.105,0.225
South Sudan,156,2.853,0.306,0.20199999999999999,0.091,0.295,0.01
