Country,HappinessRank,HappinessScore,Economy,Generosity,Trust,Health,Freedom
Bolivia,59,5.822,0.79422,0.21698,0.07746,0.4697,0.50961
Lithuania,60,5.813,1.2692,0.02025,0.0182,0.64674,0.18929
Belarus,61,5.8020000000000005,1.1306200000000002,0.13942000000000002,0.17457,0.6310399999999999,0.29091
North Cyprus,62,5.771,1.31141,0.26322,0.16577999999999998,0.8414200000000001,0.43596
Slovenia,63,5.768,1.2994700000000001,0.25738,0.03635,0.79151,0.53164
Peru,64,5.742999999999999,0.9960200000000001,0.14527,0.05292,0.6299399999999999,0.37501999999999996
Turkmenistan,65,5.6579999999999995,1.08017,0.22566999999999998,0.28467,0.44006000000000006,0.37408
Mauritius,66,5.648,1.14372,0.36951,0.05202999999999999,0.66189,0.46145
Libya,67,5.615,1.0668799999999998,0.17087,0.10339000000000001,0.52304,0.40671999999999997
Latvia,68,5.56,1.2178799999999999,0.17445,0.0889,0.63952,0.27996
Cyprus,69,5.546,1.31857,0.27906,0.05227999999999999,0.8488,0.29507
Paraguay,70,5.537999999999999,0.8937299999999999,0.25296,0.07396,0.58295,0.46235
Romania,71,5.528,1.1697,0.12889,0.006790000000000001,0.67602,0.36712
Estonia,72,5.517,1.2796399999999999,0.08423,0.18519000000000002,0.68098,0.41511000000000003
Jamaica,73,5.51,0.89333,0.22245,0.04294,0.5946899999999999,0.43596999999999997
Croatia,74,5.4879999999999995,1.18649,0.18434,0.04002,0.70524,0.23906999999999998
Hong Kong,75,5.457999999999999,1.5107,0.40097,0.31647,0.9527700000000001,0.48078999999999994
Somalia,76,5.44,0.0,0.27225,0.3118,0.11465999999999998,0.5677800000000001
Kosovo,77,5.401,0.90145,0.27992,0.06547,0.54,0.14396
Turkey,78,5.388999999999999,1.1649200000000002,0.04707,0.12347999999999999,0.64718,0.23889000000000002
Indonesia,79,5.314,0.95104,0.56521,0.00322,0.49373999999999996,0.39237
Jordan,80,5.303,0.9967299999999999,0.14262,0.13297,0.60712,0.36023
Azerbaijan,81,5.291,1.12373,0.0564,0.17914000000000002,0.54504,0.35327
Philippines,82,5.279,0.81217,0.21674000000000002,0.11757000000000001,0.47036000000000006,0.5485399999999999
China,83,5.245,1.0278,0.049589999999999995,0.02745,0.73561,0.44011999999999996
Bhutan,84,5.196000000000001,0.8527,0.48546000000000006,0.1616,0.49759,0.46074
Kyrgyzstan,85,5.185,0.5604399999999999,0.38432,0.047619999999999996,0.5544899999999999,0.40212
Serbia,86,5.1770000000000005,1.03437,0.20736999999999997,0.04339,0.6458,0.15718
Bosnia and Herzegovina,87,5.162999999999999,0.9338299999999999,0.29889,0.0,0.7076600000000001,0.09511
Montenegro,88,5.1610000000000005,1.07838,0.17190999999999998,0.12721,0.6353300000000001,0.15111
Dominican Republic,89,5.155,1.02787,0.21286,0.12372000000000001,0.5766899999999999,0.52259
Morocco,90,5.151,0.8405799999999999,0.040530000000000004,0.08404,0.5947100000000001,0.25645999999999997
Hungary,91,5.145,1.24142,0.099,0.044719999999999996,0.67608,0.1977
Pakistan,92,5.132000000000001,0.68816,0.31185,0.1388,0.40306,0.14622000000000002
Lebanon,93,5.129,1.12268,0.23693000000000003,0.030610000000000002,0.76171,0.26228
Portugal,94,5.122999999999999,1.27607,0.11690999999999999,0.01521,0.7936300000000001,0.44727
Macedonia,95,5.121,1.0193,0.23506999999999997,0.07047,0.6473800000000001,0.27668000000000004
Vietnam,96,5.061,0.74037,0.25075,0.11556,0.66157,0.5595399999999999
Somaliland Region,97,5.0569999999999995,0.25558000000000003,0.51479,0.36794,0.33108000000000004,0.3913
Tunisia,98,5.045,0.97724,0.03936,0.0817,0.59577,0.23553000000000002
Greece,99,5.033,1.24886,0.0,0.04127,0.80029,0.05822000000000001
Tajikistan,100,4.996,0.48835,0.25998000000000004,0.13509000000000002,0.5311899999999999,0.43408
Mongolia,101,4.907,0.9885299999999999,0.34539000000000003,0.03285,0.55469,0.35972
Laos,102,4.876,0.68042,0.43078999999999995,0.22423,0.38291,0.52168
Nigeria,103,4.875,0.75216,0.23219,0.0305,0.05108,0.27854
Honduras,104,4.871,0.69429,0.2044,0.06906,0.5838300000000001,0.26755
Iran,105,4.813,1.11758,0.38538,0.0557,0.64232,0.22544
Zambia,106,4.795,0.61202,0.17865999999999999,0.11479,0.23573000000000002,0.42662
Nepal,107,4.793,0.44626000000000005,0.3816,0.07007999999999999,0.50073,0.37012
Palestinian Territories,108,4.754,0.67024,0.11154000000000001,0.10613,0.56844,0.17744000000000001
Albania,109,4.655,0.9553,0.1684,0.05301,0.73007,0.31866
Bangladesh,110,4.643,0.54177,0.19132000000000002,0.12583,0.52989,0.39778
Sierra Leone,111,4.635,0.36485,0.23897,0.08196,0.0,0.30685
Iraq,112,4.575,1.07474,0.19589,0.13635999999999998,0.51076,0.24856
Namibia,113,4.574,0.9328700000000001,0.07795,0.10397999999999999,0.34745,0.48613999999999996
Cameroon,114,4.513,0.5249699999999999,0.2268,0.06126,0.12697999999999998,0.42736
Ethiopia,115,4.508,0.29283000000000003,0.29522,0.1717,0.34578000000000003,0.36703
South Africa,116,4.459,1.02416,0.13656,0.08415,0.18611,0.42483000000000004
Sri Lanka,117,4.415,0.9731799999999999,0.46978000000000003,0.07964,0.62007,0.50817
India,118,4.404,0.74036,0.25028,0.08722,0.45091000000000003,0.40285
Myanmar,119,4.395,0.34112,0.81971,0.20243,0.3988,0.42691999999999997
Egypt,120,4.362,0.95395,0.12705999999999998,0.10393,0.5211600000000001,0.18847
Armenia,121,4.36,0.8608600000000001,0.07793,0.036160000000000005,0.64083,0.14037
Kenya,122,4.356,0.52267,0.41328000000000004,0.06686,0.30146999999999996,0.40576
Ukraine,123,4.324,0.87287,0.20363,0.01829,0.58628,0.12859
Ghana,124,4.276,0.63107,0.21203000000000002,0.0326,0.29681,0.40973000000000004
Congo (Kinshasa),125,4.272,0.05661,0.25458000000000003,0.06075,0.188,0.15602
Georgia,126,4.252,0.8379200000000001,0.06786,0.3188,0.64035,0.32461
Congo (Brazzaville),127,4.236000000000001,0.7710899999999999,0.12077,0.09752999999999999,0.28212,0.37938
Senegal,128,4.218999999999999,0.44314,0.19103,0.11681,0.40457,0.31056
Bulgaria,129,4.217,1.11306,0.12793,0.00615,0.67806,0.21219000000000002
Mauritania,130,4.2010000000000005,0.6139100000000001,0.22685999999999998,0.17955,0.28639000000000003,0.1268
Zimbabwe,131,4.1930000000000005,0.35041,0.18503,0.08582000000000001,0.1595,0.25429
Malawi,132,4.156000000000001,0.08709,0.30968,0.07564,0.29364,0.4143
Sudan,133,4.138999999999999,0.63069,0.18077000000000001,0.10039,0.29759,0.0
Gabon,134,4.121,1.15851,0.062439999999999996,0.09314,0.3494,0.28098
Mali,135,4.073,0.31292,0.21064000000000002,0.13647,0.16347,0.27544
Haiti,136,4.0280000000000005,0.34097,0.47958,0.14476,0.27494,0.12072000000000001
Botswana,137,3.9739999999999998,1.09426,0.12425,0.10769000000000001,0.34752,0.44088999999999995
Comoros,138,3.9560000000000004,0.27509,0.1827,0.18437,0.29980999999999997,0.15412
Ivory Coast,139,3.9160000000000004,0.55507,0.20338,0.1553,0.04476,0.40663
Cambodia,140,3.907,0.55604,0.40339,0.08092,0.42494,0.5885199999999999
Angola,141,3.866,0.84731,0.12070999999999998,0.08434,0.04991,0.00589
Niger,142,3.8560000000000003,0.1327,0.2097,0.17176,0.26161999999999996,0.38040999999999997
South Sudan,143,3.832,0.39394,0.25899,0.13015,0.15780999999999998,0.19662000000000002
Chad,144,3.763,0.42213999999999996,0.18667,0.04952,0.038239999999999996,0.12807000000000002
Burkina Faso,145,3.739,0.31995,0.24353000000000002,0.12533,0.21297,0.3337
Uganda,145,3.739,0.34719,0.27102,0.06442,0.19625,0.43653000000000003
Yemen,147,3.7239999999999998,0.57939,0.09821,0.05892000000000001,0.31048000000000003,0.2287
Madagascar,148,3.695,0.27954,0.2204,0.07506,0.37109000000000003,0.13684000000000002
Tanzania,149,3.6660000000000004,0.47155,0.31472,0.05099,0.35700000000000004,0.3176
Liberia,150,3.622,0.10705999999999999,0.24063,0.04852,0.23165,0.25748000000000004
Guinea,151,3.6069999999999998,0.22415,0.29914,0.1192,0.18829,0.30953
Rwanda,152,3.515,0.32846,0.23551999999999998,0.50521,0.31865,0.5432
Benin,153,3.484,0.39499,0.2018,0.06681000000000001,0.21028000000000002,0.39747
Afghanistan,154,3.36,0.38227,0.31268,0.07112,0.17344,0.1643
Togo,155,3.303,0.28123000000000004,0.17517,0.11587,0.24811,0.34678000000000003
Syria,156,3.069,0.7471899999999999,0.48396999999999996,0.17232999999999998,0.6299399999999999,0.06912
Burundi,157,2.905,0.06831,0.2029,0.09419,0.15747,0.0432
